Pos,Race No,Wave,Flag,Name,Time,Net Time,Category,Cat Pos,Gender,Gen Pos,Club,Country
1,28951,A - Group 1,ZA,Tete DIJANA,05:25:28,05:25:25,Senior,1,Male,1,NEDBANK RUNNING CLUB GN,South Africa
2,55335,A - Group 1,NL,Piet WIERSMA,05:25:33,05:25:30,Senior,2,Male,2,NEDBANK INTERNATIONAL,Netherlands
3,31470,A - Group 1,XX,Nikolai VOLKOV,05:29:42,05:29:36,Senior,3,Male,3,MAXED ELITE INTERNATIONAL,ANA
4,17472,A - Group 1,ZA,Edward MOTHIBI,05:31:41,05:31:38,40-49,1,Male,4,NEDBANK RUNNING CLUB GN,South Africa
5,28773,A - Group 1,ZA,Joseph MANYEDI,05:32:09,05:32:04,40-49,2,Male,5,MAXED ELITE KZN,South Africa
6,57354,A - Group 1,GB,Alex MILNE,05:34:08,05:34:03,Senior,4,Male,6,NEDBANK INTERNATIONAL,United Kingdom
7,54915,A - Group 1,ZA,David GATEBE,05:34:30,05:34:27,40-49,3,Male,7,IMPALA MARATHON CLUB NWN,South Africa
8,31020,A - Group 1,ZA,Bongmusa MTHEMBU,05:35:48,05:35:45,40-49,4,Male,8,ARTHUR FORD AC,South Africa
9,53883,A - Group 1,ZA,Gordon LESETEDI,05:36:22,05:36:19,Senior,5,Male,9,PAN AFRICAN RESOURCES CLUB,South Africa
10,43132,A - Group 1,XX,Vasilii KORYTKIN,05:38:59,05:38:54,Senior,6,Male,10,KEMEROVO RUNNERS,ANA
11,45454,A - Group 1,XX,Aleksei BERESNEV,05:40:30,05:40:26,Senior,7,Male,11,UGLOW - ALTRA,ANA
12,55167,A - Group 1,ZA,George KUSCHE,05:41:23,05:41:17,Senior,8,Male,12,NEDBANK RUNNING CLUB GN,South Africa
13,52438,A - Group 1,ZA,Sithembiso MQHELE,05:42:11,05:42:07,Senior,9,Male,13,NEDBANK RUNNING CLUB KZN,South Africa
14,27548,B - Group 1,ZA,Mahlomola SEKHONYANA,05:42:17,05:42:10,Senior,10,Male,14,PHANTANE ATHLETIC CLUB,South Africa
15,58365,A - Group 1,LS,Lebenya NKOKA,05:43:31,05:43:23,40-49,5,Male,15,MAXED ELITE LESOTHO,Lesotho
16,41114,A - Group 1,ZA,Njabulo MDLETSHE,05:43:43,05:43:39,Senior,11,Male,16,BLACK DIAMOND ATHLETIC CLUB,South Africa
17,14891,A - Group 1,ZA,Teboho SELLO,05:44:35,05:44:29,40-49,6,Male,17,MAXED ELITE LESOTHO,South Africa
18,47292,A - Group 1,ZA,Lindelani MJWARA,05:48:21,05:48:17,Senior,12,Male,18,HOLLYWOOD AC KZNA,South Africa
19,46007,A - Group 1,ZA,Thokozani MBAMBO,05:49:37,05:49:33,Senior,13,Male,19,XCEL RUNNING CLUB,South Africa
20,52291,A - Group 1,ZA,Lebogang KHONKHOBE,05:49:49,05:49:49,Senior,14,Male,20,NEDBANK RUNNING CLUB CG,South Africa
21,30815,A - Group 1,LS,Lekhotla PULINYANA,05:50:05,05:50:00,Senior,15,Male,21,MAXED ELITE LESOTHO,Lesotho
22,30461,A - Group 1,ZA,Professa MTHETHWA,05:50:24,05:50:17,Senior,16,Male,22,BELLA'S AC,South Africa
23,50121,A - Group 1,ZA,Ntsindiso MPHAKATHI,05:50:45,05:50:40,Senior,17,Male,23,ENTSIKA AC,South Africa
24,20302,A - Group 1,ZA,Musa ZWENI,05:50:59,05:50:54,Senior,18,Male,24,PAN AFRICAN RESOURCES CLUB,South Africa
25,50661,A - Group 1,ZA,Sandile Frank KHUMALO,05:51:09,05:50:53,Senior,19,Male,25,IKHAYALETHU AC,South Africa
26,52594,A - Group 1,ZA,Solicitor MANDUWA,05:51:09,05:51:03,50-59,1,Male,26,ENTSIKA AC,South Africa
27,14383,A - Group 1,ZA,Malusi DLOMO,05:51:11,05:51:06,Senior,20,Male,27,ENTSIKA AC,South Africa
28,27705,A - Group 1,ZA,Sanele SIBISI,05:51:15,05:51:11,Senior,21,Male,28,ENTSIKA AC,South Africa
29,30929,A - Group 1,ZA,Gerda STEYN,05:51:19,05:51:15,Senior,1,Female,1,HOLLYWOOD AC CGA,South Africa
30,58229,B - Group 1,ZA,Nkosinathi DUMA,05:52:30,05:52:23,Senior,22,Male,29,NEDBANK CLUB KWA-ZULU NATAL,South Africa
31,14185,A - Group 1,LS,Lebelo MOPENYANE,05:53:22,05:53:17,Senior,23,Male,30,MAXED ELITE LESOTHO,Lesotho
32,14046,A - Group 1,ZA,Brenden TSHUMA,05:53:38,05:53:34,Senior,24,Male,31,INKAMANA AC,South Africa
33,56834,A - Group 1,ZA,Charles TJIANE,05:53:48,05:53:44,50-59,2,Male,32,MAXED ELITE KZN,South Africa
34,29889,A - Group 1,ZA,Letsatsi Rufus PHOTO,05:54:10,05:54:07,40-49,7,Male,33,BLACK DIAMOND ATHLETIC CLUB,South Africa
